Проэкт,Категории,Цена,Заявки
По API Instagram вывести фото по координатам/названию места,[],1 заявка,Нужен
ИНТЕРНЕТ МАГАЗИН,[],28 заявок,Добрый
Сео оптимизация сайта,[],10 заявок,Необходимо
Дизайн лендинг-пейдж,[],28 заявок,Задача
Сверстать лендинг-пейдж,[],39 заявок,Задача
Продвижение группы в ВК,[],7 заявок,Здравствуйте!
Замена логотипа на WP,[],17 заявок,Поменять
Подключение к вебсокету на Java,[],2 заявки,Нужно
Наполнить сайт контентом.,[],19 заявок,Необходимо
Молодым и активным фрилансерам,[],6 заявок,Работа
Доработка на OpenCart,[],1 заявка,1.1.
Подать объявления на сайт,[],10 заявок,только
Статьи по продуктам питания,[],243 заявки,Задача:
Нарисовать дизайн для сайта автосервиса,[],58 заявок,Необходимо
Узнать партнерку по коду,[],4 заявки,Здравствуйте.
Переписать метатеги,[],1 заявка,Изучить
Обработать 1 фото руки с маникюром,[],33 заявки,Требуется
Создать свой сайт рулетку.,[],8 заявок,Добрый
Добавлять видео на сайт и описания к ним (18+),[],12 заявок,Добавление
Полиграфический дизайн коробочки и отдельно етикетки для товара,[],10 заявок,Сделать
Скрипт для работы с API,[],4 заявки,Цель
Сделать выгрузку по 4-5 конкурентам,[],5 заявок,"Контекст,"
Написания двух анимированных элементов для сайта JAVA skript.,[],2 заявки,Написания
Новый Тест Яндекс.Директ,[],нет заявок,нет
Написать описание достопримечательностей – 3 текста,[],4 заявки,Нужно
Рерайтинг,[],10 заявок,Источник
Сверстать сайт,[],25 заявок,Пример
Доработка страницы Landing page,[],1 заявка,Здравствуйте.
Нарисовать банер,[],8 заявок,Привет
"Наполнить основные разделы сайта контентом (общими предложениями, инте",[],2 заявки,Наполнить
Графический дизайн отрисовка изображений,[],9 заявок,Предлагаем
"Обрезать видео с ютуба, убрать вод знаки и сделать 3 коротких ролика",[],21 заявка,1)
Сайт под ключ php,[],30 заявок,Требуется
Калькулятор для сайта фотообоев,[],9 заявок,Нужен
Создать сайт на drupal 8,[],8 заявок,Жду
Доработка интернет-магазина на Magento 1.7.0.2,[],2 заявки,Есть
Исправить ошибки на сайте,[],5 заявок,Просьба
Вертска сайта под WP Bootstrap,[],6 заявок,Добрый
Необходим копирайт,[],16 заявок,Здравствуйте.
Спарсить информацию на английском с нескольких ресурсов,[],2 заявки,Есть
Привязка корзины к платежной системе Wallwet One,[],3 заявки,Доброго
Нужна верстка и установка на WordPress Женского портала,[],11 заявок,Сайт
Cайт под ключ,[],14 заявок,Сайты
Логотип для ООО,[],42 заявки,Требуется
"Исправление верстки карточки товара VirtueMart 3, Джумла 3",[],3 заявки,Необходимо
Создание PSD макета лэндинга,[],60 заявок,Необходимо
Требуется специалист для доработки серверной части на Java,[],5 заявок,Требуется
Залить TXT файл в mysql и написать шаблоны выборок,[],6 заявок,Добрый
Для владельцев ЭКШН КАМЕР,[],7 заявок,Только
Правки ИМ на WA (Shopscript),[],1 заявка,Здравствуйте!
"Organic SEO, территория - Los Angeles, USA",[],5 заявок,Нужен
Нарисовать дизайн для сайта-каталога организаций по окнам,[],42 заявки,Нужно
Сделать сайт-каталог организаций по окнам,[],9 заявок,Нужно
Настройка сервера,[],9 заявок,нужно
Написание статей на строительную тематику,[],19 заявок,Требуется
Настроить Директ и Адвордс по теме укладка асфальта,[],21 заявка,Нужно
Нужно перенести материалы из одного сайта на другой,[],4 заявки,У
Установить код смс биллинга на сайт Wordpress,[],1 заявка,Есть
Скорректировать php скрипт после перехода с php 5.2 на 5.5,[],8 заявок,Добрый
"Написать статью о веществе, которое участвует во взрыве",[],3 заявки,Нужно
Дизайн,[],16 заявок,Необходимо
Для того у кого Unlim на Spywords,[],нет заявок,нет
WP. Правки по шаблону сайту WordPress,[],6 заявок,Нужно
Отрисовать персонажей с фото в Illustrator,[],15 заявок,Есть
"Переделать шаблоны сайта под адаптивность, работа с шрифтами",[],3 заявки,Задача:
Нужно простимулировать активность на сайте знакомств,[],4 заявки,Нужен
Первичное заполнение сайта знакомств,[],3 заявки,Есть
Сайт на Dle (верстка и настройка),[],4 заявки,Необходимо
Исправить ошибку в админке Opencart,[],5 заявок,При
"Нужно создать сайт-каталог, аукцион в одном",[],9 заявок,Нужно
Требуеться разработка приложения под iOS и Android,[],нет заявок,нет
В действующем сайте реализовать html-копии динамических страниц,[],4 заявки,Необходимо
Привлечение подписчиков в группу Вк,[],10 заявок,"Александр,"
Отверстать сайт и перенести на Magento,[],2 заявки,Здравствуйте
Отверстать сайт и перенести на Drupal,[],1 заявка,Здравствуйте
Cms Wordpress задание,[],6 заявок,Cms
Сделать psd шаблон,[],5 заявок,Нужно
Перепрограммирование действующего сайта на php и yii2,[],4 заявки,Здравствуйте!
Разработка логотипа,[],24 заявки,разработка
Контекстная реклама,[],14 заявок,Добрый
Доработка сайта на 1С-Битрикс,[],1 заявка,Разработка
Доработка интернет-магазина на WebAsyst,[],1 заявка,Необходимо
Рерайт текстов на тему детейлинга автомобилей,[],3 заявки,ТРИ
Написание уникального текста,[],7 заявок,Какой
Отчет по учебно-ознакомительной практике,[],2 заявки,Необходимо
Landing page для магазина детской одежды и обуви (оффлайн),[],6 заявок,P.S.
Адаптивная верстка страниц LP,[],25 заявок,Есть
Доработка сайта OpenCart 2.1.0.2,[],2 заявки,На
Требуется написание ТЗ,[],3 заявки,Есть
Написать скрипт,[],9 заявок,Нужен
Сделать несколько подписей на форуме (bb-code),[],1 заявка,Нужно
Требуется сделать электронные каталоги продуктов трех языках,[],13 заявок,Требуется
Адаптивная верстка лендинга,[],12 заявок,Требуется
Верстка сайта (плюс возможно натяжка на modx),[],17 заявок,Требуется
Оценка эффективности рекламы facebook на основе google analitics,[],3 заявки,Входящие
Реализовать несколько задач по доработке сайта,[],8 заявок,Есть
Создание сайта-визики,[],29 заявок,Требуется
Подготовка карточек для интернет-магазина детских товаров,[],7 заявок,"Здравствуйте,"
Верстка лендинга на бутстрапе.,[],28 заявок,Нужно
"Текст 2000 сим. тематика Самокаты, беговелы.",[],8 заявок,Всё
Правки верстки магазина Opencart 2,[],4 заявки,Есть
Добавление карточек товара  описанием,[],29 заявок,Добрый
Перевод интервью из аудио формата в docx,[],22 заявки,Требуется
Настройка модулей доставки и  оплаты на Битрикс Малый бизнес,[],2 заявки,Добрый
Контекстная реклама для лендинга,[],13 заявок,Необходимо
Сделать лендинг из презентации,[],23 заявки,Доброго
Форма поиска.,[],3 заявки,Быстрая
Интегрировать платежную систему на сайт,[],5 заявок,Требуется
Таргетированная реклама на лендинг,[],3 заявки,Добрый
Тексты для интернет-магазина одежды,[],32 заявки,Необходимо
Верстка и программ,[],24 заявки,Ищу
5 банэров для сайта,[],16 заявок,Нужно
"Написать 21 текст для сайта по услугам Геологии, изысканиям, геодезии",[],7 заявок,Добрый
Наполнение сайта карточками товаров - CMS MODX,[],14 заявок,Необходимо
Копия сайта!,[],7 заявок,Необходимо
Создать личный кабинет на WP,[],3 заявки,Есть
Верстка,[],12 заявок,Требуется
Оформить шапку сайта,[],4 заявки,Сайт
Корректировки на сайте Wordpress,[],5 заявок,Добрый
Разработать шаблон темы  wordpress с WooCommerce,[],7 заявок,Есть
Сайт с парсером Play Market,[],2 заявки,Требования
Несколько текстов по 3-4к на тематику скорочтения,[],14 заявок,Есть
"Приложение для IOS/Android, дополненная реальность",[],7 заявок,Необходимо
